n,p,lambda,rho,s,i,r,t,mu
10000,0.0005,2,3,9968,26,6,0.7404217169847551,4.991773675762323
10000,0.0005,2,3,9968,26,6,0.7431539574219136,4.99187399678961
10000,0.0005,2,3,9967,27,6,0.7459240405244066,4.991974317816897
10000,0.0005,2,3,9966,28,6,0.7486122125674174,4.992073843683549
10000,0.0005,2,3,9966,28,6,0.7511247753814877,4.9918723660446185
10000,0.0005,2,3,9965,29,6,0.7536693046435742,4.991972707204563
10000,0.0005,2,3,9965,29,6,0.7561142924186353,4.9919719016558055
10000,0.0005,2,3,9964,30,6,0.7585895399433877,4.992072252885108
10000,0.0005,2,3,9963,31,6,0.7609991784976046,4.992171818547313
10000,0.0005,2,3,9962,32,6,0.7634322685219355,4.992572518318369
10000,0.0005,2,3,9962,31,7,0.7657470833367502,4.992471391287132
10000,0.0005,2,3,9961,32,7,0.7681223802488643,4.992471391287132
10000,0.0005,2,3,9960,33,7,0.7703347696293952,4.992169460897768
10000,0.0005,2,3,9959,34,7,0.7724489345342578,4.9920682730922294
10000,0.0005,2,3,9959,33,8,0.7744939243093089,4.992067476654268
10000,0.0005,2,3,9959,33,8,0.776630676446061,4.992067476654268
10000,0.0005,2,3,9958,34,8,0.7787905036598839,4.9921678883421885
10000,0.0005,2,3,9958,34,8,0.7809002083012341,4.992267523599376
10000,0.0005,2,3,9957,35,8,0.783032404463281,4.992367945370817
10000,0.0005,2,3,9956,36,8,0.785012602483083,4.991965451441285
10000,0.0005,2,3,9955,37,8,0.7869695496455096,4.992165528324174
10000,0.0005,2,3,9955,37,8,0.7888670828523408,4.992164741336144
10000,0.0005,2,3,9955,37,8,0.7907827916646013,4.992265193370297
10000,0.0005,2,3,9955,37,8,0.7927170276413905,4.992365645404451
10000,0.0005,2,3,9955,37,8,0.7946701526413905,4.992466097438605
10000,0.0005,2,3,9954,38,8,0.7966425392291617,4.992566549472759
10000,0.0005,2,3,9954,38,8,0.7985012752886412,4.992264416315255
10000,0.0005,2,3,9953,39,8,0.8003774478965212,4.992364878441033
10000,0.0005,2,3,9953,39,8,0.8021989415212936,4.992364111323093
10000,0.0005,2,3,9953,38,9,0.8040371768154112,4.9924645835425245
10000,0.0005,2,3,9952,39,9,0.8058959128748907,4.9924645835425245
10000,0.0005,2,3,9952,39,9,0.8077009670265153,4.9924638263663494
10000,0.0005,2,3,9951,40,9,0.8095224606512876,4.9925643086814615
10000,0.0005,2,3,9950,41,9,0.8112173759055249,4.991960606973983
10000,0.0005,2,3,9950,41,9,0.8128952282545182,4.992160804020407
10000,0.0005,2,3,9949,42,9,0.8145872756318447,4.99226130653297
10000,0.0005,2,3,9949,42,9,0.8162347220898348,4.992260528696322
10000,0.0005,2,3,9949,42,9,0.8178958516579411,4.992361041310655
10000,0.0005,2,3,9949,42,9,0.819570893533988,4.992461553924988
10000,0.0005,2,3,9948,43,9,0.8212600827231772,4.992562066539322
10000,0.0005,2,3,9948,43,9,0.8228782057005235,4.992360273422417
10000,0.0005,2,3,9948,43,9,0.8245095270708335,4.992460796140551
10000,0.0005,2,3,9948,43,9,0.8261542639129388,4.9925613188586855
10000,0.0005,2,3,9948,43,9,0.8278126387056419,4.99266184157682
10000,0.0005,2,3,9947,44,9,0.8294848795083175,4.992762364294954
10000,0.0005,2,3,9946,45,9,0.8311135440034315,4.992761636674204
10000,0.0005,2,3,9946,45,9,0.8326639316003307,4.992459280112625
10000,0.0005,2,3,9946,44,10,0.8342264316003307,4.992559823044457
10000,0.0005,2,3,9946,44,10,0.8357913768272478,4.992559823044457
10000,0.0005,2,3,9946,44,10,0.8373686638934938,4.992660365976288
10000,0.0005,2,3,9946,44,10,0.8389584890127307,4.99276090890812
10000,0.0005,2,3,9946,44,10,0.8405610531152948,4.992861451839953
10000,0.0005,2,3,9946,44,10,0.8421765620005937,4.992961994771784
10000,0.0005,2,3,9946,44,10,0.8438052264957077,4.993062537703616
10000,0.0005,2,3,9945,45,10,0.8454472626205024,4.993163080635448
10000,0.0005,2,3,9945,45,10,0.847073278880665,4.993363499245835
10000,0.0005,2,3,9945,44,11,0.84871262314296,4.993464052287565
10000,0.0005,2,3,9945,44,11,0.8503546592677548,4.993464052287565
10000,0.0005,2,3,9945,43,12,0.8520102884068276,4.993564605329294
10000,0.0005,2,3,9945,43,12,0.8537109686789364,4.993564605329294
10000,0.0005,2,3,9945,43,12,0.8554262345451457,4.993665158371024
10000,0.0005,2,3,9945,43,12,0.8571563383513741,4.993765711412753
10000,0.0005,2,3,9945,43,12,0.8589015390494543,4.993866264454483
10000,0.0005,2,3,9945,43,12,0.8606621024297361,4.993966817496212
10000,0.0005,2,3,9945,43,12,0.8624383013640167,4.994067370537942
10000,0.0005,2,3,9944,44,12,0.8642304160593571,4.994167923579671
10000,0.0005,2,3,9944,44,12,0.8659427448264804,4.993966210780348
10000,0.0005,2,3,9944,44,12,0.8676698605432334,4.9940667739340086
10000,0.0005,2,3,9944,43,13,0.869412020821979,4.994167337087669
10000,0.0005,2,3,9943,44,13,0.8712203390859935,4.994167337087669
10000,0.0005,2,3,9943,44,13,0.8729624993647391,4.9940661772098025
10000,0.0005,2,3,9942,45,13,0.8747199686090273,4.9941667504774285
10000,0.0005,2,3,9942,45,13,0.876429370318429,4.994166163749807
10000,0.0005,2,3,9941,46,13,0.8781535082494635,4.994266747133432
