n,p,lambda,rho,s,i,r,t,mu,newmu
100000,5e-05,2,3,99985,14,1,0.423837190468011,5.002640343243003,5
100000,5e-05,2,3,99985,13,2,0.4289918296432687,5.002640343243003,5
100000,5e-05,2,3,99985,13,2,0.4341731767935278,5.002640343243003,5
100000,5e-05,2,3,99985,13,2,0.439492325729698,5.002690403562929,5
100000,5e-05,2,3,99984,14,2,0.44495680660401493,5.002690403562929,5
100000,5e-05,2,3,99984,14,2,0.4496297038002766,5.002690403562929,5
100000,5e-05,2,3,99984,14,2,0.45441439279549195,5.002690403562929,5
100000,5e-05,2,3,99983,15,2,0.45931635357980566,5.002690403562929,5
100000,5e-05,2,3,99983,15,2,0.4638618081252602,5.002690403562929,5
100000,5e-05,2,3,99982,16,2,0.46851297091595784,5.002690403562929,5
100000,5e-05,2,3,99982,16,2,0.47275025905155105,5.002690403562929,5
100000,5e-05,2,3,99981,17,2,0.4770792633805554,5.002690403562929,5
100000,5e-05,2,3,99980,18,2,0.48121149478551406,5.002690403562929,5
100000,5e-05,2,3,99979,19,2,0.48494283806909616,5.002690538108549,5
100000,5e-05,2,3,99978,20,2,0.48852706745977714,5.002690538108549,5
100000,5e-05,2,3,99978,20,2,0.4919168979682517,5.002690538108549,5
100000,5e-05,2,3,99977,21,2,0.4953651738303207,5.002690538108549,5
100000,5e-05,2,3,99977,21,2,0.498580607913922,5.002690538108549,5
100000,5e-05,2,3,99976,22,2,0.5018485817701311,5.002690538108549,5
100000,5e-05,2,3,99976,21,3,0.5048606299629023,5.002690538108549,5
100000,5e-05,2,3,99975,22,3,0.507881777999156,5.002690538108549,5
100000,5e-05,2,3,99975,22,3,0.5106828984473353,5.002690538108549,5
100000,5e-05,2,3,99975,22,3,0.5135238075382443,5.002690538108549,5
100000,5e-05,2,3,99975,22,3,0.5164056519186478,5.002690672664094,5
100000,5e-05,2,3,99975,22,3,0.519329628526835,5.002690672664094,5
100000,5e-05,2,3,99974,23,3,0.52229698757728,5.002690672664094,5
100000,5e-05,2,3,99974,23,3,0.5252124394723238,5.002690672664094,5
100000,5e-05,2,3,99973,24,3,0.5281710193539806,5.002690672664094,5
100000,5e-05,2,3,99973,24,3,0.5309565346743148,5.002690672664094,5
100000,5e-05,2,3,99972,25,3,0.533781393431377,5.002690672664094,5
100000,5e-05,2,3,99972,25,3,0.5364480600980437,5.002690672664094,5
100000,5e-05,2,3,99971,26,3,0.5391507628007464,5.002690672664094,5
100000,5e-05,2,3,99971,26,3,0.5417083075577797,5.002690672664094,5
100000,5e-05,2,3,99971,26,3,0.5442989811329092,5.002740794834485,5
100000,5e-05,2,3,99970,27,3,0.5469236530489197,5.002740794834485,5
100000,5e-05,2,3,99970,27,3,0.5493508375149391,5.002740794834485,5
100000,5e-05,2,3,99969,28,3,0.5518078399719415,5.002740794834485,5
100000,5e-05,2,3,99969,28,3,0.5541173087941124,5.002740794834485,5
100000,5e-05,2,3,99969,28,3,0.5564537573922432,5.002740794834485,5
100000,5e-05,2,3,99968,29,3,0.5588178235860967,5.002740794834485,5
100000,5e-05,2,3,99967,30,3,0.5610700758383489,5.002740794834485,5
100000,5e-05,2,3,99967,30,3,0.5632678780361511,5.002740794834485,5
100000,5e-05,2,3,99967,30,3,0.5654901002583733,5.002740794834485,5
100000,5e-05,2,3,99966,31,3,0.5677372912696093,5.002750907802948,5
100000,5e-05,2,3,99966,31,3,0.5698162933486113,5.002750907802948,5
100000,5e-05,2,3,99965,32,3,0.5719171336847457,5.002750907802948,5
100000,5e-05,2,3,99965,32,3,0.5738895202725169,5.002750907802948,5
100000,5e-05,2,3,99964,33,3,0.5758815521450269,5.002750907802948,5
100000,5e-05,2,3,99964,33,3,0.5778120540755288,5.002750907802948,5
