n,p,lambda,rho,S
100000,5e-05,1,5.5,0.99999
100000,5e-05,1,1.5,0.1658
100000,5e-05,1,7.0,0.99991
100000,5e-05,1,7.0,0.99995
100000,5e-05,1,5.7,0.99999
100000,5e-05,1,9.9,0.99999
100000,5e-05,1,0.2,0.99999
100000,5e-05,1,9.4,0.99999
100000,5e-05,1,9.7,0.99998
100000,5e-05,1,8.1,0.99999
100000,5e-05,1,8.0,0.99998
100000,5e-05,1,3.1,0.99997
100000,5e-05,1,7.0,0.99999
100000,5e-05,1,8.1,0.99998
100000,5e-05,1,6.6,0.99998
100000,5e-05,1,9.5,0.99999
100000,5e-05,1,8.9,0.99999
100000,5e-05,1,4.6,0.99997
100000,5e-05,1,0.2,0.11376
100000,5e-05,1,2.8,0.99997
100000,5e-05,1,0.8,0.12847
100000,5e-05,1,9.8,0.99999
100000,5e-05,1,7.9,0.99999
100000,5e-05,1,4.8,0.99999
100000,5e-05,1,8.9,0.99998
100000,5e-05,1,3.5,0.99997
100000,5e-05,1,0.1,0.11232
100000,5e-05,1,9.5,0.99999
100000,5e-05,1,4.9,0.99998
100000,5e-05,1,4.7,0.99969
100000,5e-05,1,6.4,0.99999
100000,5e-05,1,3.2,0.99999
100000,5e-05,1,0.7,0.99999
100000,5e-05,1,7.0,0.99999
100000,5e-05,1,8.1,0.99998
100000,5e-05,1,1.8,0.18232
100000,5e-05,1,0.8,0.12963
100000,5e-05,1,7.8,0.99999
100000,5e-05,1,1.7,0.17514
100000,5e-05,1,7.2,0.99999
100000,5e-05,1,5.9,0.99999
100000,5e-05,1,8.7,0.99997
100000,5e-05,1,9.1,0.99998
100000,5e-05,1,7.9,0.99999
100000,5e-05,1,7.9,0.99999
100000,5e-05,1,6.5,0.99999
100000,5e-05,1,6.1,0.99999
100000,5e-05,1,3.4,0.99999
100000,5e-05,1,1.9,0.99988
100000,5e-05,1,4.0,0.99995
100000,5e-05,1,5.2,0.99999
100000,5e-05,1,8.7,0.99998
100000,5e-05,1,8.4,0.99997
100000,5e-05,1,6.6,0.99999
100000,5e-05,1,5.8,0.99998
100000,5e-05,1,6.6,0.99999
100000,5e-05,1,4.8,0.99995
100000,5e-05,1,8.1,0.99999
100000,5e-05,1,5.8,0.99999
100000,5e-05,1,5.2,0.99998
