n,lambda,rho,prop,components
100,1,4,0.71,2
100,1,4,0.8,2
100,1,4,0.78,2
100,1,4,0.71,4
100,1,4,0.74,2
100,1,4,0.78,2
100,1,4,0.79,3
100,1,4,0.79,2
100,1,4,0.85,2
100,1,4,0.81,3
100,1,4,0.78,2
100,1,4,0.77,2
100,1,4,0.72,3
100,1,4,0.71,4
100,1,4,0.74,2
100,1,4,0.79,2
100,1,4,0.76,2
100,1,4,0.78,2
100,1,4,0.79,2
100,1,4,0.79,3
100,1,4,0.76,1
100,1,4,0.78,2
100,1,4,0.7,2
100,1,4,0.66,1
100,1,4,0.76,3
100,1,4,0.89,2
100,1,4,0.67,2
100,1,4,0.69,3
100,1,4,0.77,2
100,1,4,0.7,2
100,1,4,0.84,4
100,1,4,0.76,2
100,1,4,0.78,2
100,1,4,0.76,3
100,1,4,0.81,2
100,1,4,0.82,4
100,1,4,0.72,2
100,1,4,0.65,3
100,1,4,0.81,2
100,1,4,0.86,3
100,1,4,0.75,5
100,1,4,0.68,3
100,1,4,0.8,4
100,1,4,0.74,2
100,1,4,0.76,3
100,1,4,0.78,2
100,1,4,0.84,3
100,1,4,0.86,3
100,1,4,0.68,2
100,1,4,0.74,2
100,1,4,0.75,2
100,1,4,0.77,2
100,1,4,0.64,2
100,1,4,0.79,2
100,1,4,0.7,3
100,1,4,0.78,2
100,1,4,0.74,2
100,1,4,0.79,3
100,1,4,0.75,2
100,1,4,0.71,5
100,1,4,0.77,2
100,1,4,0.78,5
100,1,4,0.8,2
100,1,4,0.81,2
100,1,4,0.74,2
100,1,4,0.64,2
100,1,4,0.81,2
100,1,4,0.79,3
100,1,4,0.67,1
100,1,4,0.77,2
100,1,4,0.83,2
100,1,4,0.76,3
100,1,4,0.81,4
100,1,4,0.78,3
100,1,4,0.74,3
100,1,4,0.71,3
100,1,4,0.8,2
100,1,4,0.69,1
100,1,4,0.67,2
100,1,4,0.73,2
100,1,4,0.8,3
100,1,4,0.78,3
100,1,4,0.79,3
100,1,4,0.82,3
