n,p,lambda,rho,s,i,r,mu,t
10000,0.0005,1.0084,4,0.9998,0.0017,-0.0015,4.985071636108689,1.0442854960000807
10000,0.0005,1.0084,4,0.9998,0.0017,-0.0015,4.985071636108689,1.0528849962496178
10000,0.0005,1.0084,4,0.9998,0.0017,-0.0015,4.985071636108689,1.0543988960956927
10000,0.0005,1.0084,4,0.9998,0.0017,-0.0015,4.985071636108689,1.0603715986916995
10000,0.0005,1.0084,4,0.9998,0.0018,-0.0016,4.985071636108689,1.0618063561648268
10000,0.0005,1.0084,4,0.9997,0.0017,-0.0014,4.985071636108689,1.0725365548961112
10000,0.0005,1.0084,4,0.9997,0.0017,-0.0014,4.985071636108689,1.0824849881635477
10000,0.0005,1.0084,4,0.9997,0.0017,-0.0014,4.985071636108689,1.0830448296186894
10000,0.0005,1.0084,4,0.9997,0.0017,-0.0014,4.985071636108689,1.0832289850285208
10000,0.0005,1.0084,4,0.9996,0.0016,-0.0012,4.985470941883561,1.0907725709535252
10000,0.0005,1.0084,4,0.9996,0.0016,-0.0012,4.985470941883561,1.0945232566674914
10000,0.0005,1.0084,4,0.9996,0.0016,-0.0012,4.985470941883561,1.1056166015379516
10000,0.0005,1.0084,4,0.9996,0.0016,-0.0012,4.985470941883561,1.1059779892807613
10000,0.0005,1.0084,4,0.9995,0.0015,-0.001,4.985470941883561,1.1129296481786148
10000,0.0005,1.0084,4,0.9995,0.0015,-0.001,4.985470941883561,1.1272013603842275
10000,0.0005,1.0084,4,0.9995,0.0015,-0.001,4.985470941883561,1.1309900885908764
10000,0.0005,1.0084,4,0.9995,0.0015,-0.001,4.985470941883561,1.1408562304473648
10000,0.0005,1.0084,4,0.9995,0.0015,-0.001,4.985470941883561,1.1414600187914747
10000,0.0005,1.0084,4,0.9995,0.0015,-0.001,4.985470941883561,1.1446241671989263
10000,0.0005,1.0084,4,0.9995,0.0016,-0.0011,4.986371379897679,1.1537166240142156
10000,0.0005,1.0084,4,0.9995,0.0016,-0.0011,4.986371379897679,1.1631905111682115
10000,0.0005,1.0084,4,0.9995,0.0016,-0.0011,4.986371379897679,1.1649508672148527
10000,0.0005,1.0084,4,0.9995,0.0016,-0.0011,4.986371379897679,1.1684328160404545
10000,0.0005,1.0084,4,0.9995,0.0016,-0.0011,4.986371379897679,1.178794408230523
10000,0.0005,1.0084,4,0.9995,0.0016,-0.0011,4.986371379897679,1.1802943340689134
10000,0.0005,1.0084,4,0.9995,0.0017,-0.0012,4.986371379897679,1.1811632344828664
10000,0.0005,1.0084,4,0.9995,0.0017,-0.0012,4.986371379897679,1.182486112743133
10000,0.0005,1.0084,4,0.9995,0.0017,-0.0012,4.986371379897679,1.1852448564061706
10000,0.0005,1.0084,4,0.9995,0.0017,-0.0012,4.986371379897679,1.193917003303461
10000,0.0005,1.0084,4,0.9995,0.0018,-0.0013,4.986569108950805,1.2061041066248899
