n,p,lambd,rho,s,diam
2412,0,1,10,0.8909618573797679,160
2289,0,1,10,0.9030144167758847,110
1000,0,1,81.93906460925717,0.99,92
1000,0,1,49.9601275079429,0.984,107
1000,0,1,61.058869315866204,0.982,82
2379,0,1,10,0.9050021017234132,100
2275,0,1,10,0.898021978021978,66
1000,0,1,65.95473306286016,0.987,89
1870,0,1,10,0.9064171122994652,102
558,0,1,10,0.8835125448028673,69
1000,0,1,27.879672635595256,0.962,119
2827,0,1,10,0.9055535903784931,174
2834,0,1,10,0.9001411432604093,136
1404,0,1,10,0.9009971509971509,62
1000,0,1,1.9939862172631218,0.471,36
1454,0,1,10,0.8988995873452544,89
2312,0,1,10,0.8901384083044983,131
1000,0,1,23.68055551902235,0.962,74
1000,0,1,57.58138565682799,0.985,109
1677,0,1,10,0.8956469886702445,98
917,0,1,10,0.8953107960741549,53
1000,0,1,56.035514206382445,0.986,99
1000,0,1,1.7175337578065775,0.406,49
1045,0,1,10,0.9148325358851674,93
1000,0,1,10.504436209497392,0.88,81
1000,0,1,38.584326607116395,0.981,77
1000,0,1,30.92829335272733,0.966,83
2863,0,1,10,0.8948655256723717,138
2461,0,1,10,0.9061357171881349,77
478,0,1,10,0.8849372384937239,70
1000,0,1,38.90580979126154,0.972,77
1000,0,1,72.98693640738027,0.987,91
2786,0,1,10,0.908829863603733,134
2061,0,1,10,0.8971373119844736,109
2545,0,1,10,0.9013752455795678,153
1000,0,1,88.72077539482633,0.99,99
1000,0,1,14.492165948803093,0.93,83
2542,0,1,10,0.8926042486231314,167
1305,0,1,10,0.8957854406130268,84
373,0,1,10,0.9249329758713136,60
2020,0,1,10,0.9014851485148515,164
1000,0,1,22.899617195806222,0.962,89
399,0,1,10,0.9072681704260651,57
2935,0,1,10,0.8964224872231686,124
2747,0,1,10,0.914816163087004,88
1054,0,1,10,0.8956356736242884,70
1524,0,1,10,0.9061679790026247,107
1000,0,1,59.93267367838781,0.983,86
1000,0,1,9.287243051352723,0.883,73
835,0,1,10,0.9029940119760479,59
1368,0,1,10,0.8976608187134503,89
2914,0,1,10,0.8967055593685656,238
209,0,1,10,0.8947368421052632,39
1000,0,1,44.35900923738358,0.981,83
1000,0,1,30.113121977921665,0.968,71
951,0,1,10,0.9011566771819137,54
1000,0,1,88.3170356513294,0.992,86
1000,0,1,71.2506763362827,0.982,92
1000,0,1,79.63354464825954,0.983,107
1455,0,1,10,0.8996563573883162,96
950,0,1,10,0.8989473684210526,89
355,0,1,10,0.8845070422535212,47
1000,0,1,7.8982108017679025,0.868,86
1000,0,1,91.75426390977127,0.988,79
1000,0,1,96.3173823892543,0.985,74
1607,0,1,10,0.8979464841319228,123
1000,0,1,34.586281509470574,0.97,74
1000,0,1,72.73546741864544,0.993,96
1326,0,1,10,0.9102564102564102,133
79,0,1,10,0.8860759493670886,13
1000,0,1,93.72539440735362,0.992,58
1376,0,1,10,0.903343023255814,84
1026,0,1,10,0.8840155945419104,70
1000,0,1,93.81637582429832,0.989,126
1000,0,1,99.40352558227895,0.991,83
2385,0,1,10,0.9014675052410901,168
1000,0,1,43.13073701278929,0.979,81
2618,0,1,10,0.9106187929717342,151
1000,0,1,6.923058804145221,0.862,102
148,0,1,10,0.9121621621621622,30
1198,0,1,10,0.9098497495826378,64
1000,0,1,81.51503472957098,0.983,72
2733,0,1,10,0.8942553969996341,97
233,0,1,10,0.8927038626609443,30
1000,0,1,96.14866403636249,0.992,79
1000,0,1,27.710505757291514,0.965,86
1000,0,1,68.04042443327498,0.99,64
1316,0,1,10,0.9095744680851063,78
363,0,1,10,0.9008264462809917,62
417,0,1,10,0.9256594724220624,47
1000,0,1,89.19286030764098,0.986,91
1731,0,1,10,0.8960138648180243,85
1000,0,1,87.59870461753499,0.984,106
1000,0,1,27.368321784620598,0.968,83
1000,0,1,21.115803709483526,0.948,84
1000,0,1,71.06468381852173,0.986,63
1000,0,1,20.422423103983313,0.95,59
2051,0,1,10,0.9063871282301317,105
1000,0,1,11.716368787243336,0.928,90
1000,0,1,74.39973455564196,0.988,111
1325,0,1,10,0.9071698113207547,134
1000,0,1,37.49234706956764,0.97,85
1000,0,1,28.512608323153987,0.961,79
2831,0,1,10,0.8915577534440127,133
1000,0,1,57.030920333071954,0.985,53
2535,0,1,10,0.9037475345167653,161
507,0,1,10,0.9151873767258383,73
1000,0,1,50.96738756209268,0.982,88
1777,0,1,10,0.8840742824985931,146
1000,0,1,27.997657337331404,0.955,81
2999,0,1,10,0.9026342114038013,164
1000,0,1,10,0.898,85
385,0,1,10,0.9012987012987013,71
1000,0,1,42.00264311684836,0.976,75
2242,0,1,10,0.8965209634255129,100
1000,0,1,85.2250236007261,0.992,66
1956,0,1,10,0.90439672801636,148
1000,0,1,11.954549767539213,0.912,77
1776,0,1,10,0.9031531531531531,100
38,0,1,10,0.8947368421052632,10
1000,0,1,33.431522596476036,0.971,65
2365,0,1,10,0.9010570824524313,121
1000,0,1,97.51123320570656,0.99,75
2841,0,1,10,0.8873636043646603,176
1000,0,1,8.349022534567663,0.888,104
1000,0,1,76.81746398176271,0.983,65
1664,0,1,10,0.8966346153846154,80
1649,0,1,10,0.8969072164948454,117
1000,0,1,68.22030724803093,0.984,102
2877,0,1,10,0.9120611748348975,129
2868,0,1,10,0.900278940027894,109
97,0,1,10,0.9278350515463918,26
1000,0,1,88.43681924791012,0.987,67
1000,0,1,51.96115815776889,0.983,78
1000,0,1,29.161086593417085,0.968,91
1000,0,1,1.0373174161649845,0.0,0
1000,0,1,57.189780356620105,0.983,100
55,0,1,10,0.8,15
1000,0,1,85.07201205493921,0.988,74
2987,0,1,10,0.8968865082022096,98
1420,0,1,10,0.9063380281690141,88
1000,0,1,83.48540835640435,0.982,82
2038,0,1,10,0.8891069676153092,148
1664,0,1,10,0.9134615384615384,113
1825,0,1,10,0.8958904109589041,89
1000,0,1,3.0643773041130196,0.698,69
2132,0,1,10,0.9015009380863039,122
440,0,1,10,0.8909090909090909,44
529,0,1,10,0.9243856332703214,48
296,0,1,10,0.8817567567567568,47
2606,0,1,10,0.9082885648503454,133
1118,0,1,10,0.90608228980322,76
372,0,1,10,0.8655913978494624,60
1000,0,1,25.33211529507152,0.966,102
1000,0,1,37.096801927944746,0.978,86
1000,0,1,75.83763339346396,0.99,48
1000,0,1,92.87890152878516,0.983,86
2483,0,1,10,0.9037454691904954,173
874,0,1,10,0.8775743707093822,94
1697,0,1,10,0.9039481437831467,114
1000,0,1,96.00477536671723,0.993,91
265,0,1,10,0.9018867924528302,57
999,0,1,10,0.9099099099099099,84
177,0,1,10,0.8813559322033898,44
1000,0,1,26.607990352537804,0.968,96
1890,0,1,10,0.9132275132275133,109
1172,0,1,10,0.89419795221843,65
1000,0,1,32.484775720045675,0.962,64
893,0,1,10,0.9059350503919373,62
802,0,1,10,0.9027431421446384,73
1000,0,1,6.482866633096684,0.855,65
2211,0,1,10,0.8905472636815921,126
1356,0,1,10,0.9019174041297935,68
962,0,1,10,0.8866943866943867,66
1442,0,1,10,0.8980582524271845,105
1000,0,1,37.492930313785,0.974,83
1000,0,1,1.9798726948161982,0.473,71
1000,0,1,80.37783240955909,0.99,93
1000,0,1,7.884893637001101,0.874,70
2653,0,1,10,0.9072747832642292,116
1476,0,1,10,0.8983739837398373,68
640,0,1,10,0.9015625,56
566,0,1,10,0.872791519434629,61
1000,0,1,67.0347860213733,0.98,80
1000,0,1,2.506714609780447,0.566,75
1000,0,1,91.30046596434023,0.99,92
1000,0,1,93.17435118634336,0.99,76
2977,0,1,10,0.8998992274101444,118
1000,0,1,75.27622637595493,0.984,60
1000,0,1,23.95081080999917,0.949,54
1358,0,1,10,0.8880706921944035,83
1000,0,1,41.85187548175011,0.977,85
308,0,1,10,0.9123376623376623,35
1000,0,1,7.5085009381019585,0.842,79
1000,0,1,10.150034208016145,0.873,57
2062,0,1,10,0.9127061105722599,88
1848,0,1,10,0.9117965367965368,109
750,0,1,10,0.908,60
1293,0,1,10,0.9002320185614849,75
1000,0,1,82.08759990915054,0.984,68
2619,0,1,10,0.9049255441008018,117
2282,0,1,10,0.9101665205959685,107
1000,0,1,50.71910466572661,0.975,61
1813,0,1,10,0.9029233314947601,153
1000,0,1,64.7040994387021,0.984,94
1000,0,1,53.17201206132602,0.975,81
1000,0,1,15.513134487577195,0.934,108
1000,0,1,4.627770806363363,0.775,99
1806,0,1,10,0.893687707641196,104
1000,0,1,38.33805722996711,0.972,73
1000,0,1,59.025442100029416,0.977,76
1000,0,1,33.947281146950615,0.977,86
1000,0,1,93.48820420365146,0.987,91
615,0,1,10,0.9121951219512195,78
1316,0,1,10,0.898936170212766,94
1000,0,1,53.88156467379241,0.976,56
1000,0,1,72.74201078707408,0.993,93
1884,0,1,10,0.9007430997876857,125
1000,0,1,49.342639507772304,0.977,82
1000,0,1,73.80469029056755,0.987,100
2581,0,1,10,0.9000387446726075,154
1000,0,1,50.296330017383454,0.981,70
161,0,1,10,0.9316770186335404,33
749,0,1,10,0.9012016021361816,56
1000,0,1,40.19258698914485,0.974,77
2181,0,1,10,0.896377808344796,112
970,0,1,10,0.9,65
1000,0,1,62.03875891463693,0.982,79
1000,0,1,77.30547229877239,0.987,73
1361,0,1,10,0.899338721528288,119
1000,0,1,1.15139724264115,0.137,26
851,0,1,10,0.8977673325499412,91
268,0,1,10,0.9067164179104478,46
1000,0,1,83.33545321355892,0.98,94
1000,0,1,41.876067093354294,0.979,92
2589,0,1,10,0.8856701429123214,152
2955,0,1,10,0.8917089678510999,132
1000,0,1,57.9013575287451,0.986,85
1000,0,1,48.334789710224754,0.979,98
1000,0,1,41.904697207365274,0.965,79
1000,0,1,8.168473468961368,0.894,103
722,0,1,10,0.9141274238227147,57
1000,0,1,47.43804262906445,0.983,56
1000,0,1,88.77126340789249,0.992,79
1777,0,1,10,0.8970174451322454,113
2158,0,1,10,0.8957367933271547,124
466,0,1,10,0.9098712446351931,44
2213,0,1,10,0.9100768187980117,119
988,0,1,10,0.9149797570850202,81
1000,0,1,12.315594026919385,0.926,74
1000,0,1,95.10614134762315,0.988,91
1000,0,1,75.39562411862032,0.989,86
1024,0,1,10,0.916015625,89
1781,0,1,10,0.8983717012914093,134
979,0,1,10,0.8866189989785496,85
1220,0,1,10,0.9032786885245901,85
1000,0,1,56.368362350336234,0.981,96
2244,0,1,10,0.8988413547237076,135
1343,0,1,10,0.8957557706626954,97
1000,0,1,81.96669049015253,0.99,104
1803,0,1,10,0.9179145867997781,120
1425,0,1,10,0.9108771929824562,81
267,0,1,10,0.9026217228464419,40
1000,0,1,71.35331380456026,0.987,78
1000,0,1,51.57773438331702,0.988,108
1090,0,1,10,0.9009174311926605,73
1000,0,1,39.264110458790505,0.966,91
1000,0,1,84.40493045642441,0.983,108
486,0,1,10,0.9032921810699589,42
2961,0,1,10,0.8973319824383654,187
1292,0,1,10,0.9148606811145511,67
1000,0,1,53.00305075885012,0.984,53
2036,0,1,10,0.9012770137524558,123
1000,0,1,22.967216512832234,0.95,104
1000,0,1,1.902506348868671,0.447,48
820,0,1,10,0.9182926829268293,72
1000,0,1,7.118832830873401,0.856,75
1000,0,1,60.57823302912963,0.984,61
217,0,1,10,0.9032258064516129,31
1263,0,1,10,0.8962787015043547,98
1000,0,1,11.112280140448604,0.915,59
1000,0,1,46.64986243403638,0.968,70
1000,0,1,42.542515022254214,0.979,88
2669,0,1,10,0.8935931060322218,175
1984,0,1,10,0.8936491935483871,132
1923,0,1,10,0.8980759230369215,125
1000,0,1,7.476158764141849,0.867,100
1712,0,1,10,0.9077102803738317,86
2138,0,1,10,0.9144059869036483,71
1589,0,1,10,0.8904971680302077,101
2886,0,1,10,0.8984753984753985,129
2180,0,1,10,0.8949541284403669,119
1000,0,1,69.13462831443957,0.989,97
2838,0,1,10,0.9013389711064129,141
1000,0,1,76.66618293814102,0.986,69
1000,0,1,90.81276514793477,0.99,64
141,0,1,10,0.9432624113475178,37
1000,0,1,84.5036859617063,0.991,86
2518,0,1,10,0.8995234312946783,153
1000,0,1,99.3688236322475,0.985,76
1255,0,1,10,0.899601593625498,87
2915,0,1,10,0.8977701543739279,182
1243,0,1,10,0.913917940466613,115
1000,0,1,46.12020622600925,0.984,54
1000,0,1,64.53854582377888,0.984,93
1221,0,1,10,0.9033579033579033,91
461,0,1,10,0.9088937093275488,55
959,0,1,10,0.9030239833159541,102
1213,0,1,10,0.9084913437757626,105
1000,0,1,75.59336542701257,0.986,78
1000,0,1,41.401386919924576,0.978,97
1000,0,1,83.14240358720515,0.983,59
1000,0,1,57.73869242738535,0.98,92
1000,0,1,46.08133503075863,0.98,61
1913,0,1,10,0.8996340825927862,113
1000,0,1,51.26742954300878,0.981,58
1000,0,1,26.989894034980864,0.958,108
1000,0,1,19.632549944618425,0.935,87
1000,0,1,15.372546072431314,0.939,121
1000,0,1,68.8598284964153,0.991,91
1000,0,1,59.704334416605484,0.984,108
1000,0,1,52.25914132045103,0.983,76
375,0,1,10,0.9466666666666667,44
1503,0,1,10,0.8988689288090486,106
152,0,1,10,0.9013157894736842,28
1000,0,1,17.393638620404005,0.952,99
1124,0,1,10,0.9217081850533808,101
449,0,1,10,0.9020044543429844,48
1489,0,1,10,0.9073203492276696,100
1000,0,1,48.34392965346224,0.973,128
2388,0,1,10,0.9082914572864321,134
22,0,1,10,0.8636363636363636,7
1000,0,1,21.36220204696635,0.941,64
1000,0,1,68.21553155600827,0.99,87
1000,0,1,78.7911397516684,0.986,103
1000,0,1,27.587889152056842,0.963,101
1000,0,1,89.21084386567367,0.99,86
1000,0,1,39.65062615632628,0.979,79
1000,0,1,33.70792486839165,0.972,58
2043,0,1,10,0.9030837004405287,94
210,0,1,10,0.9142857142857143,50
1582,0,1,10,0.9184576485461441,89
1000,0,1,27.82684653806269,0.964,76
278,0,1,10,0.9172661870503597,46
2663,0,1,10,0.9034923019151333,161
782,0,1,10,0.9053708439897699,50
59,0,1,10,0.9491525423728814,16
2944,0,1,10,0.9021739130434783,124
28,0,1,10,0.8928571428571429,10
1621,0,1,10,0.9130166563849476,77
2505,0,1,10,0.8934131736526946,148
1965,0,1,10,0.9068702290076336,95
1000,0,1,68.18419341496704,0.982,87
1000,0,1,4.177717671731873,0.736,61
2959,0,1,10,0.900304156809733,98
