n,p,lambda,rho,s,i,r,t,mu
10000,0.0005,1.25,4,9992,5,3,0.7521326219422886,4.96126901521212
10000,0.0005,1.25,4,9992,5,3,0.7712713779231498,4.96126901521212
10000,0.0005,1.25,4,9992,5,3,0.7925479736678307,4.96126901521212
10000,0.0005,1.25,4,9992,5,3,0.8165000694762139,4.96126901521212
10000,0.0005,1.25,4,9992,5,3,0.8438973297501865,4.96126901521212
10000,0.0005,1.25,4,9992,5,3,0.8758973297501865,4.96126901521212
10000,0.0005,1.25,4,9992,5,3,0.914358868211725,4.96126901521212
10000,0.0005,1.25,4,9992,5,3,0.9625516392960624,4.96126901521212
10000,0.0005,1.25,4,9992,5,3,1.0270677683283205,4.96126901521212
10000,0.0005,1.25,4,9991,6,3,1.1246287439380767,4.962269815852632
10000,0.0005,1.25,4,9991,5,4,1.1480205568035737,4.962269815852632
10000,0.0005,1.25,4,9991,5,4,1.171972652611957,4.962269815852632
10000,0.0005,1.25,4,9990,6,4,1.1993699128859294,4.962269815852632
10000,0.0005,1.25,4,9990,6,4,1.2202032462192627,4.962269815852632
10000,0.0005,1.25,4,9990,6,4,1.2435950590847598,4.962269815852632
10000,0.0005,1.25,4,9990,6,4,1.2702617257514264,4.962269815852632
10000,0.0005,1.25,4,9990,5,5,1.301269477689411,4.962269815852632
10000,0.0005,1.25,4,9990,4,6,1.333269477689411,4.962269815852632
10000,0.0005,1.25,4,9990,4,6,1.4022349949307902,4.962269815852632
10000,0.0005,1.25,4,9989,5,6,1.5103431030388983,4.962562562562581
10000,0.0005,1.25,4,9989,5,6,1.5488046415004368,4.962562562562581
10000,0.0005,1.25,4,9988,6,6,1.5969974125847741,4.962562562562581
10000,0.0005,1.25,4,9987,7,6,1.6157767553077789,4.962562562562581
10000,0.0005,1.25,4,9987,7,6,1.6290657918526295,4.962562562562581
10000,0.0005,1.25,4,9987,6,7,1.6433515061383437,4.962562562562581
10000,0.0005,1.25,4,9986,7,7,1.6578442597615322,4.962562562562581
10000,0.0005,1.25,4,9986,7,7,1.6653630567540134,4.962562562562581
10000,0.0005,1.25,4,9986,7,7,1.6731908454037199,4.962562562562581
10000,0.0005,1.25,4,9986,7,7,1.6813541107098424,4.962562562562581
10000,0.0005,1.25,4,9986,7,7,1.68988289535803,4.961746445023599
10000,0.0005,1.25,4,9986,7,7,1.6988114667866014,4.961746445023599
10000,0.0005,1.25,4,9986,7,7,1.7081791482854305,4.961746445023599
10000,0.0005,1.25,4,9986,7,7,1.718031365034199,4.961746445023599
10000,0.0005,1.25,4,9986,7,7,1.7284209754238093,4.961746445023599
10000,0.0005,1.25,4,9986,7,7,1.7394099864128203,4.961746445023599
10000,0.0005,1.25,4,9986,7,7,1.7510717939929952,4.961746445023599
10000,0.0005,1.25,4,9986,7,7,1.7634941542414424,4.961746445023599
10000,0.0005,1.25,4,9985,8,7,1.776783190786293,4.961746445023599
10000,0.0005,1.25,4,9985,8,7,1.7865392883472686,4.961746445023599
10000,0.0005,1.25,4,9985,8,7,1.796822064696883,4.962443665498383
10000,0.0005,1.25,4,9985,8,7,1.8076916299142745,4.962443665498383
10000,0.0005,1.25,4,9985,8,7,1.8192190074358883,4.962443665498383
10000,0.0005,1.25,4,9985,8,7,1.831488946086195,4.962443665498383
10000,0.0005,1.25,4,9985,8,7,1.8446037001845557,4.962443665498383
10000,0.0005,1.25,4,9984,9,7,1.8586882072268092,4.962443665498383
10000,0.0005,1.25,4,9984,9,7,1.8683500429756015,4.962443665498383
10000,0.0005,1.25,4,9984,9,7,1.8785281600239476,4.962443665498383
10000,0.0005,1.25,4,9984,8,8,1.8892808481959906,4.962443665498383
10000,0.0005,1.25,4,9984,7,9,1.900150413413382,4.962443665498383
10000,0.0005,1.25,4,9984,6,10,1.9125727736618292,4.96284054487183
10000,0.0005,1.25,4,9983,7,10,1.9251513900140305,4.96284054487183
10000,0.0005,1.25,4,9982,8,10,1.9361404010030414,4.96284054487183
10000,0.0005,1.25,4,9982,8,10,1.9433217295488223,4.96284054487183
10000,0.0005,1.25,4,9982,8,10,1.9507844161159864,4.96284054487183
10000,0.0005,1.25,4,9982,8,10,1.9585514064072485,4.96284054487183
10000,0.0005,1.25,4,9982,8,10,1.9666485723991514,4.96284054487183
10000,0.0005,1.25,4,9982,8,10,1.9751052320186018,4.96284054487183
10000,0.0005,1.25,4,9982,8,10,1.9839547895407257,4.96284054487183
10000,0.0005,1.25,4,9982,8,10,1.9932355320001225,4.96284054487183
10000,0.0005,1.25,4,9982,7,11,2.002991629561098,4.963033460227964
10000,0.0005,1.25,4,9982,7,11,2.0184356450051135,4.963033460227964
10000,0.0005,1.25,4,9982,7,11,2.035242367694189,4.963033460227964
10000,0.0005,1.25,4,9982,7,11,2.0536755474176913,4.963033460227964
10000,0.0005,1.25,4,9982,7,11,2.0740837106829972,4.963033460227964
10000,0.0005,1.25,4,9981,8,11,2.09694085354014,4.963033460227964
10000,0.0005,1.25,4,9981,8,11,2.1121499790154252,4.963033460227964
10000,0.0005,1.25,4,9981,7,12,2.12867890463526,4.963033460227964
10000,0.0005,1.25,4,9981,7,12,2.1454856273243355,4.963033460227964
10000,0.0005,1.25,4,9981,7,12,2.1639188070478377,4.963033460227964
10000,0.0005,1.25,4,9981,6,13,2.1843269703131436,4.963630898707608
10000,0.0005,1.25,4,9980,7,13,2.207718783178641,4.963630898707608
10000,0.0005,1.25,4,9979,8,13,2.2245255058677165,4.963630898707608
10000,0.0005,1.25,4,9979,8,13,2.234808282217331,4.963630898707608
10000,0.0005,1.25,4,9979,7,14,2.245677847434722,4.963630898707608
10000,0.0005,1.25,4,9979,7,14,2.258100207683169,4.963630898707608
10000,0.0005,1.25,4,9979,7,14,2.2713892442280197,4.963630898707608
10000,0.0005,1.25,4,9979,7,14,2.285674958513734,4.963630898707608
10000,0.0005,1.25,4,9978,8,14,2.3011189739577493,4.963630898707608
10000,0.0005,1.25,4,9978,8,14,2.31423372805611,4.963630898707608
10000,0.0005,1.25,4,9978,7,15,2.3283182350983633,4.963820404890761
10000,0.0005,1.25,4,9977,8,15,2.345124957787439,4.963820404890761
10000,0.0005,1.25,4,9977,8,15,2.3573948964377456,4.963820404890761
10000,0.0005,1.25,4,9977,8,15,2.370509650536106,4.963820404890761
10000,0.0005,1.25,4,9976,9,15,2.3845941575783596,4.963820404890761
10000,0.0005,1.25,4,9976,9,15,2.3953468457504026,4.963820404890761
10000,0.0005,1.25,4,9976,9,15,2.406742857146414,4.963820404890761
10000,0.0005,1.25,4,9976,9,15,2.418864069267626,4.963820404890761
10000,0.0005,1.25,4,9976,9,15,2.431809053086396,4.963820404890761
10000,0.0005,1.25,4,9975,10,15,2.445697941975285,4.963820404890761
10000,0.0005,1.25,4,9975,10,15,2.454809559287358,4.963809523809138
10000,0.0005,1.25,4,9974,11,15,2.4643789372777882,4.963809523809138
