lambda,rho,R
6.25,4,0.9188083519188078
6.3,4,0.919615746813447
6.35,4,0.9204038632516358
6.4,4,0.9211732524163768
6.45,4,0.9219244455018722
6.5,4,0.9226579545847415
6.55,4,0.9233742734510015
6.6,4,0.9240738783814418
6.65,4,0.9247572288978941
6.7,4,0.9254247684722233
6.75,4,0.9260769252007791
6.8,4,0.9267141124454916
6.85,4,0.9273367294443222
6.9,4,0.9279451618917568
6.95,4,0.9285397824919113
7.0,4,0.9291209514852616
7.05,4,0.9296890171504342
7.1,4,0.9302443162825655
7.15,4,0.9307871746493147
7.2,4,0.9313179074258308
7.25,4,0.9318368196097041
7.3,4,0.9323442064171134
7.35,4,0.9328403536608343
7.4,4,0.9333255381113862
7.45,4,0.9338000278418849
7.5,4,0.9342640825576204
7.55,4,0.9347179539112028
7.6,4,0.9351618858037338
7.65,4,0.9355961146728201
7.7,4,0.9360208697682622
7.75,4,0.93643637341583
7.8,4,0.9368428412696183
7.85,4,0.9372404825538453
7.9,4,0.9376295002943853
7.95,4,0.9380100915405093
8.0,4,0.9383824475774858
8.05,4,0.938746754130298
8.1,4,0.9391031915588568
8.15,4,0.9394519350455345
8.2,4,0.9397931547746513
8.25,4,0.9401270161050221
8.3,4,0.9404536797353925
8.35,4,0.9407733018631749
8.4,4,0.9410860343372566
8.45,4,0.9413920248041593
8.5,4,0.9416914168490288
8.55,4,0.9419843501307636
8.6,4,0.9422709605119944
8.65,4,0.9425513801840387
8.7,4,0.9428257377870625
8.75,4,0.9430941585256327
8.8,4,0.9433567642798382
8.85,4,0.9436136737122751
8.9,4,0.9438650023710182
8.95,4,0.9441108627887032
9.0,4,0.9443513645778329
9.05,4,0.9445866145228224
9.1,4,0.9448167166683301
9.15,4,0.9450417724046641
9.2,4,0.9452618805497984
9.25,4,0.9454771374287139
9.3,4,0.9456876369496063
9.35,4,0.9458934706774966
9.4,4,0.9460947279053402
9.45,4,0.9462914957223213
9.5,4,0.946483859080004
9.55,4,0.9466719008560512
9.6,4,0.9468557019156879
9.65,4,0.9470353411711507
9.7,4,0.947210895638963
9.75,4,0.9473824404953283
9.8,4,0.9475500491295227
9.85,4,0.947713793195614
9.9,4,0.9478737426623091
9.95,4,0.9480299658612208
