lambda,rho,S,I,R,mu
1,4.9,0.9963677867756758,1.3377333195751032e-11,0.0036322132109226192,5.012867988149457
1,5.0,0.9964991464902813,1.2247305939535841e-11,0.0035008534974477483,5.012476143252516
1,5.1,0.9966180312348224,1.1321815768122142e-11,0.0033819687538378706,5.012121439732137
1,5.2,0.9967261359209366,1.0549994208206267e-11,0.0032738640684979313,5.011798840720116
1,5.3,0.9968248619886059,9.896537869803574e-12,0.0031751380014794963,5.011504179904848
1,5.4,0.9969153782367074,9.336180963214174e-12,0.0030846217539432954,5.011233981399342
1,5.5,0.9969986671367899,8.850366322712112e-12,0.0030013328543456613,5.010985322523326
1,5.6,0.9970755605143541,8.42515843636637e-12,0.0029244394772115242,5.010755728035055
1,5.7,0.9971467673384036,8.049889654007742e-12,0.0028532326535284933,5.010543087720422
1,5.8,0.9972128955821421,7.716255767147013e-12,0.0027871044101332267,5.010345591536933
1,5.9,0.9972744695787457,7.417696104838622e-12,0.002725530413821886,5.01016167810397
1,6.0,0.9973319439190902,7.148958952901305e-12,0.002668056073745176,5.009989993441707
1,6.1,0.9973857146686893,6.905790743559303e-12,0.0026142853243951553,5.009829357658193
1,6.2,0.9974361284882576,6.684709764186163e-12,0.00256387150504383,5.009678737854096
1,6.3,0.997483490100994,6.482838740451607e-12,0.002516509892513898,5.00953722593356
1,6.4,0.99752806844567,6.2977791706292885e-12,0.002471931548019834,5.0094040203143955
1,6.5,0.997570101777783,6.127515751285084e-12,0.002429898216081772,5.009278410762486
1,6.6,0.9976098019224794,5.970342812450542e-12,0.0023901980715386384,5.009159765744166
1,6.7,0.99764735783952,5.824807068953274e-12,0.0023526421546470307,5.009047521822797
1,6.8,0.9976829386264578,5.6896626173951075e-12,0.0023170613678402674,5.008941174724268
1,6.9,0.9977166960608453,5.563835228686091e-12,0.0022833039335805215,5.008840271772567
1,7.0,0.997748766761745,5.4463937711045e-12,0.00225123323279794,5.008744405456751
1,7.1,0.9977792740355769,5.3365271564893996e-12,0.0022207259590782042,5.008653207936728
1,7.2,0.9978083294586748,5.233525603288367e-12,0.002191670536082481,5.008566346331689
1,7.3,0.9978360342394211,5.1367653021191065e-12,0.002163965755430321,5.00848351866451
1,7.4,0.9978624803949084,5.045695784294058e-12,0.0021375196000369317,5.008404450357514
1,7.5,0.9978877517709254,4.959829453416746e-12,0.002112248224106672,5.008328891194574
1,7.6,0.9979119249291313,4.878732859962693e-12,0.0020880750659835754,5.0082566126785535
1,7.7,0.9979350699210848,4.802019389468048e-12,0.002064930074102891,5.008187405725167
1,7.8,0.9979572509656892,4.7293431042018625e-12,0.0020427490295751075,5.008121078644784
1,7.9,0.9979785270437161,4.660393531496522e-12,0.002021472951617051,5.008057455370492
1,8.0,0.9979989524211499,4.594891233226175e-12,0.0020010475742481978,5.007996373898809
1,8.1,0.998018577110981,4.532584023187207e-12,0.0019814228844832827,5.007937684913012
1,8.2,0.9980374472817662,4.4732437244867055e-12,0.0019625527137530963,5.007881250565549
1,8.3,0.9980556056200414,4.416663379100162e-12,0.0019443943755323516,5.007826943397533
1,8.4,0.9980730916524387,4.362654837717369e-12,0.0019269083431912141,5.00777464537835
1,8.5,0.9980899420327233,4.311046670760566e-12,0.0019100579629574028,5.007724247050025
1,8.6,0.9981061907981245,4.261682351734971e-12,0.00189380919760402,5.007675646762665
1,8.7,0.9981218695986853,4.2144186723761085e-12,0.001878130397094514,5.00762874999071
1,8.8,0.9981370079028884,4.169124355810917e-12,0.0018629920929336605,5.00758346871941
1,8.9,0.9981516331824515,4.125678839460923e-12,0.0018483668134154322,5.0075397208940355
1,9.0,0.9981657710785778,4.083971203935371e-12,0.001834228917331448,5.007497429923729
1,9.1,0.998179445551925,4.043899227888297e-12,0.0018205544440238397,5.007456524234089
1,9.2,0.9981926790180505,4.005368551889525e-12,0.0018073209779385082,5.007416936863453
1,9.3,0.9982054924699542,3.968291936918414e-12,0.0017945075260690612,5.007378605096899
1,9.4,0.9982179055891816,3.932588605220357e-12,0.0017820944068826648,5.007341470135061
1,9.5,0.9982299368466051,3.898183653047134e-12,0.001770063149492167,5.007305476793184
1,9.6,0.9982416035941413,3.8650075262992185e-12,0.0017583964019886559,5.007270573227672
1,9.7,0.9982529221481846,3.832995551348369e-12,0.001747077847977879,5.007236710687001
1,9.8,0.9982639078657166,3.802087514382954e-12,0.0017360921304769132,5.007203843284577
1,9.9,0.9982745752137978,3.7722272835210355e-12,0.0017254247824246784,5.007171927791314
