S,I,R,mu,t
0.9999889999999999,1.09e-05,1e-07,5.000001499985,0.0
0.9999879600007,1.18309993e-05,2.0900000000000003e-07,5.00000305996679,0.01
0.9999868784024007,1.2794287606279866e-05,3.27309993e-07,5.000004682344706,0.02
0.9999857535414141,1.3791205716987909e-05,4.552528690627987e-07,5.000006369614046,0.03
0.9999845836875056,1.4823147567941734e-05,5.931649262326778e-07,5.000008124369908,0.04
0.9999833670412377,1.5891562360352297e-05,7.413964019120951e-07,5.000009949311176,0.05
0.9999821017312008,1.69979567737148e-05,9.00312025515618e-07,5.000011847244663,0.06
0.9999807858111394,1.814389726724254e-05,1.070291593252766e-06,5.000013821089426,0.07
0.9999794172569606,1.9331012473357022e-05,1.2517305659251915e-06,5.00001587388125,0.08
0.9999779939636224,2.0560995686890064e-05,1.4450406906587618e-06,5.000018008777315,0.09
0.9999765137418987,2.1835607453801317e-05,1.6506506475276625e-06,5.00002022906104,0.1
0.9999749743150144,2.3156678263368003e-05,1.8690067220656756e-06,5.000022538147133,0.11
0.9999733733151474,2.452611134796262e-05,2.1005735046993556e-06,5.000024939586834,0.12
0.999971708279787,2.594588559469987e-05,2.345834618178982e-06,5.000027437073372,0.13
0.9999699766479526,2.741805857340538e-05,2.60529347412598e-06,5.000030034447638,0.14
0.9999681757562546,2.8944769685537225e-05,2.879474059860034e-06,5.000032735704082,0.15
0.9999663028348044,3.0528243438876245e-05,3.1689217567154066e-06,5.000035544996851,0.16
0.9999643550029561,3.217079285299346e-05,3.4742041911041687e-06,5.000038466646169,0.17
0.9999623292648797,3.3874823000702786e-05,3.7959121196341032e-06,5.000041505144972,0.18
0.9999602225049596,3.564283469091466e-05,4.134660349641131e-06,5.000044665165807,0.19
0.999958031483005,3.747742829852212e-05,4.491088696550278e-06,5.000047951568009,0.2
0.9999557528292734,3.938130774717461e-05,4.865862979535499e-06,5.000051369405159,0.21
0.999953383039292,4.13572846510281e-05,5.259676057007245e-06,5.000054923932846,0.22
0.9999509184684748,4.3408282621801736e-05,5.673248903517526e-06,5.000058620616736,0.23
0.9999483553265227,4.5537341747722834e-05,6.107331729735543e-06,5.000062465140959,0.24
0.9999456896716019,4.774762325120332e-05,6.562705147212772e-06,5.00006646341684,0.25
0.9999429174042882,5.004241433236222e-05,7.040181379724805e-06,5.000070621591966,0.26
0.9999400342612713,5.2425133205790847e-05,7.540605523048427e-06,5.000074946059626,0.27
0.9999370358088069,5.489933433825071e-05,8.064856855106336e-06,5.000079443468616,0.28
0.9999339174359064,5.7468713895298595e-05,8.613850198488843e-06,5.000084120733448,0.29
0.9999306743472576,6.0137115405149836e-05,9.188537337441829e-06,5.000088985044954,0.3
0.9999273015558603,6.290853564841992e-05,9.789908491493327e-06,5.000094043881319,0.31
0.9999237938753694,6.578713078272596e-05,1.0418993847977527e-05,5.000099305019551,0.32
0.999920145912133,6.877722271148486e-05,1.1076865155804787e-05,5.00010477654741,0.33
0.9999163520569109,7.188330570661397e-05,1.1764637382919637e-05,5.000110466875811,0.34
0.999912406476265,7.511005329522298e-05,1.2483470439985775e-05,5.0001163847517205,0.35
0.9999083031036066,7.846232542078427e-05,1.3234570972938005e-05,5.000122539271565,0.36
0.9999040356298834,8.19451758896826e-05,1.4019194227145849e-05,5.000128939895179,0.37
0.9998995974938998,8.556386011447436e-05,1.4838645986042674e-05,5.0001355964603,0.38
0.9998949818722476,8.932384316563345e-05,1.5694284587187416e-05,5.000142519197649,0.39
0.9998901816688375,9.32308081440241e-05,1.6587523018843752e-05,5.000149718746601,0.4
0.9998851895040133,9.729066488682282e-05,1.751983110028399e-05,5.000157206171491,0.41
0.9998799977032311,0.00010150955902011169,1.849273774915222e-05,5.000164992978554,0.42
0.9998745982852892,0.00010589388137188468,1.9507833339353335e-05,5.000173091133553,0.43
0.9998689829500879,0.00011045027775974816,2.0566772153072184e-05,5.000181513080097,0.44
0.9998631430659016,0.00011518565916815715,2.1671274930669667e-05,5.000190271758689,0.45
0.9998570696561475,0.00012010721233061031,2.282313152235124e-05,5.000199380626538,0.46
0.9998507533856221,0.00012522241073283078,2.4024203645657343e-05,5.000208853678146,0.47
0.9998441845461941,0.00013053902605358753,2.527642775298565e-05,5.000218705466723,0.48
0.9998373530419266,0.0001360651400604619,2.6581818013521525e-05,5.000228951126443,0.49
0.9998302483736079,0.0001418091569785412,2.7942469414126142e-05,5.000239606395592,0.5
0.999822859622666,0.00014777981635072195,2.9360560983911556e-05,5.0002506876406265,0.51
0.9998151754344441,0.0001539862064090334,3.0838359147418773e-05,5.000262211881189,0.52
0.9998071840008118,0.0001604377779771488,3.237822121150911e-05,5.000274196816117,0.53
0.9997988730420843,0.00016714435892503502,3.39825989912806e-05,5.00028666085048,0.54
0.9997902297882225,0.00017411616919750555,3.565404258053095e-05,5.000299623123686,0.55
0.9997812409592887,0.00018136383643928652,3.7395204272506005e-05,5.000313103538704,0.56
0.9997718927451235,0.0001888984122400812,3.920884263689887e-05,5.000327122792442,0.57
0.9997621707842171,0.00019673138902402706,4.109782675929968e-05,5.000341702407328,0.58
0.999752060141742,0.00020487471760888311,4.306514064953995e-05,5.0003568647641305,0.59
0.9997415452867136,0.00021334082546126186,4.511388782562878e-05,5.000372633136096,0.6
0.999730610068245,0.00022214263567523488,4.7247296080241396e-05,5.000389031724411,0.61
0.9997192376908608,0.00023129358670269214,4.946872243699375e-05,5.000406085695081,0.62
0.9997074106888316,0.00024080765286492507,5.178165830402066e-05,5.00042382121726,0.63
0.9996951108994918,0.000250699365676034,5.418973483266991e-05,5.000442265503089,0.64
0.9996823194355012,0.00026098383600993045,5.669672848943025e-05,5.000461446849108,0.65
0.9996690166560072,0.0002716767771439196,5.930656684952956e-05,5.000481394679298,0.66
0.9996551821366666,0.0002827945287131058,6.202333462096875e-05,5.000502139589815,0.67
0.9996407946384813,0.0002943540816111665,6.485127990809981e-05,5.000523713395493,0.68
0.999625832075402,0.0003063731038743887,6.779482072421147e-05,5.000546149178163,0.69
0.9996102714806504,0.00031886996758726286,7.085855176295537e-05,5.0005694813368775,0.7
0.9995940889717125,0.0003318637768493718,7.4047251438828e-05,5.000593745640106,0.71
0.9995772597139487,0.0003453743968448151,7.736588920732172e-05,5.00061897927998,0.72
0.9995597578827679,0.00035942248405695736,8.081963317576987e-05,5.000645220928657,0.73
0.9995415566243114,0.0003740295176728939,8.441385801633944e-05,5.0006725107969014,0.74
0.999522628014584,0.00038921783222369027,8.815415319306836e-05,5.000700890694949,0.75
0.9995029430169774,0.0004050106515081652,9.204633151530526e-05,5.000730404095759,0.76
0.9994824714381204,0.0004214321238497676,9.609643803038691e-05,5.0007610962007325,0.77
0.9994611818819938,0.00043850735873792975,0.00010031075926888459,5.000793014007993,0.78
0.999439041702237,0.00045626246490718087,0.00010469583285626388,5.000826206383333,0.79
0.9994160169525861,0.00047472458990926216,0.00010925845750533569,5.000860724133923,0.8
0.9993920723353608,0.000493921961235514,0.00011400570340442831,5.000896620084885,0.81
0.999367171147935,0.0005138839290488947,0.00011894492301678345,5.000933949158842,0.82
0.9993412752271063,0.0005346410105871517,0.0001240837623072724,5.000972768458556,0.83
0.9993143448912866,0.0005562249363008918,0.00012943017241314391,5.001013137352767,0.84
0.9992863388804317,0.0005786686977925993,0.00013499242177615283,5.001055117565352,0.85
0.9992572142936215,0.0006020065976250187,0.00014077910875407882,5.00109877326794,0.86
0.9992269265242006,0.0006262743010697609,0.000146799174730329,5.0011441711760884,0.87
0.9991954291923901,0.0006515088898695126,0.00015306191774102664,5.001191380649177,0.88
0.9991626740752713,0.0006777489180898171,0.00015957700663972175,5.001240473794138,0.89
0.9991286110340409,0.0007050344701390657,0.00016635449582061995,5.0012915255731825,0.9
0.9990931879384405,0.0007334072210380826,0.0001734048405220106,5.0013446139156414,0.91
0.9990563505882448,0.000762910499023509,0.0001807389127323914,5.001399819834105,0.92
0.9990180426317059,0.0007935893505720934,0.0001883680177226265,5.001457227544992,0.93
0.9989782054808365,0.0008254906079359739,0.00019630391122834744,5.00151692459372,0.94
0.9989367782234108,0.0008586629592820962,0.0002045588173077072,5.001579001984641,0.95
0.998893697531568,0.0008931570215320467,0.00021314544690052817,5.001643554315911,0.96
0.998848897566883,0.0009290254160017932,0.00022207701711584864,5.001710679919471,0.97
0.9988023098817805,0.0009663228469441203,0.00023136727127586655,5.001780481006328,0.98
0.9987538633171553,0.0010051061830999109,0.00024103049974530776,5.001853063817308,0.99
0.9987034838960562,0.0010454345423678687,0.0002510815615763069,5.00192853877949,1.0
0.9986510947132948,0.001087369379705797,0.00026153590699998556,5.002007020668503,1.01
0.9985966158208236,0.0011309745783801282,0.00027240960079704356,5.002088628776911,1.02
0.9985399641087357,0.0011763165446840645,0.00028371934658084485,5.002173487088868,1.03
0.9984810531817245,0.0012234643062484015,0.00029548251202768546,5.002261724461283,1.04
0.9984197932308375,0.0012724896140728957,0.0003077171550901695,5.002353474811702,1.05
0.99835609090036,0.0013234670484098751,0.0003204420512308985,5.002448877313138,1.06
0.9982898491496499,0.0013764741286356793,0.0003336767217149972,5.002548076596078,1.07
0.9982209671097497,0.0014315914272494607,0.000347441463001354,5.002651222957909,1.08
0.9981493399345841,0.0014889026881428466,0.00036175737727384854,5.002758472580007,1.09
0.9980748586465572,0.0015484949492879777,0.000376646404155277,5.002869987752729,1.1
0.997997409976357,0.001610458669995461,0.00039213135364815676,5.002985937108573,1.11
0.9979168761967547,0.0016748878628978258,0.00040823594034811135,5.0031064958637605,1.12
0.9978331349502054,0.0017418802308181154,0.00042498481897708965,5.003231846068508,1.13
0.9977460590700281,0.0018115373086872726,0.0004424036212852708,5.003362176866252,1.14
0.9976555163949505,0.001883964610678002,0.00046051899437214353,5.003497684762107,1.15
0.997561369576795,0.00195927178272675,0.0004793586404789235,5.003638573900833,1.16
0.9974634758810749,0.002037572760619359,0.000498951358306191,5.003785056354596,1.17
0.9973616869802683,0.0021189859338197913,0.0005193270859123846,5.003937352420803,1.18
0.997255848739525,0.002203634315225061,0.0005405169452505826,5.004095690930305,1.19
0.9971458009945647,0.0022916457170331144,0.0005625532884028332,5.004260309566258,1.2
