lambda,rho,t
0.1,0,0.0
0.2,0,6.661338147750939e-16
0.3,0,0.25425282769154145
0.4,0,0.5330035777815811
0.5,0,0.6757567335810115
0.6,0,0.7590732544603296
0.7,0,0.8121383661751707
0.8,0,0.8481306753421819
0.9,0,0.8737349932302128
1.0,0,0.8926447536092091
1.1,0,0.9070393814998331
1.2,0,0.9182740574287209
1.3,0,0.9272282696511881
1.4,0,0.9344935110975285
1.5,0,0.9404797907073597
1.6,0,0.9454787918986862
1.7,0,0.9497027546830474
1.8,0,0.9533092003846058
1.9,0,0.956417104708278
2.0,0,0.959117743903786
2.1,0,0.9614821313925433
2.2,0,0.9635662186897888
2.3,0,0.9654145982213993
2.4,0,0.9670631824840321
2.5,0,0.9685411712410141
2.6,0,0.9698725154844613
2.7,0,0.9710770204085093
2.8,0,0.9721711858948068
2.9,0,0.9731688537317811
3.0,0,0.9740817108785816
3.1,0,0.9749196843458382
3.2,0,0.9756912536560791
3.3,0,0.976403700040535
3.4,0,0.9770633066514985
3.5,0,0.9776755205354503
3.6,0,0.9782450845252507
3.7,0,0.978776145297736
3.8,0,0.9792723424170691
3.9,0,0.9797368821115511
4.0,0,0.9801725987182216
4.1,0,0.9805820061080682
4.2,0,0.9809673409263481
4.3,0,0.9813305991118637
4.4,0,0.9816735668699424
4.5,0,0.981997847046985
4.6,0,0.9823048816753468
4.7,0,0.9825959713151325
4.8,0,0.9828722917060033
4.9,0,0.9831349081510641
