S,I,R,t
0.9998949999374992,0.00010400000000000001,1.04e-06,0.0
0.9998406839572898,0.00014605491835572792,1.3720872143465507e-05,0.1
0.9997776517001257,0.00019243297568552549,3.0837857486655564e-05,0.2
0.9997045069671779,0.00024405737530671675,5.287309485457584e-05,0.3
0.9996196303866937,0.00030197667049741597,8.04077688442934e-05,0.4
0.9995211439794385,0.00036738669141104163,0.0001141358261401873,0.5
0.9994068701671524,0.0004416556916238565,0.00015488005773332263,0.6
0.9992742843790505,0.000526353214101369,0.00020361089597700018,0.7
0.9991204602917644,0.0006232832426704808,0.00026146832898063754,0.8
0.9989420066048069,0.0007345222780039009,0.0003297873954096132,0.9
0.998734994106281,0.0008624630563102548,0.0004101277909655802,1.0
0.9984948716223798,0.0010098647135095016,0.0005043081942541143,1.1
0.9982163692702929,0.0011799102860454334,0.0006144460048628893,1.2
0.997893387249726,0.0013762725289785925,0.0007430032805160102,1.3
0.9975188682174451,0.0016031891184831234,0.0008928397630375184,1.4
0.9970846510985537,0.0018655483832028118,0.0010672739939299415,1.5
0.9965813040075789,0.0021689867682538515,0.0012701536382762385,1.6
0.9959979337963512,0.0025199992645181337,0.0015059362579537255,1.7
0.995321969634906,0.0029260640169911298,0.0017797818978546132,1.8
0.9945389179949873,0.0033957822358449533,0.002097658965932363,1.9
0.993632086482743,0.003939034341062134,0.0024664649906565865,2.0
0.9925822742109701,0.004567152934432657,0.0028941639153984627,2.1
0.991367426881931,0.005293112657375688,0.0033899416211004185,2.2
0.9899622555608033,0.006131736190442804,0.003964381332820189,2.3
0.9883378193736864,0.0070999144940350764,0.004629660431051472,2.4
0.9864610742087231,0.008216837774062465,0.0053997699140866315,2.5
0.9842943921119475,0.009504231455429705,0.006290757290407175,2.6
0.981795059660956,0.010986588517166152,0.007320992953912123,2.7
0.978914768406874,0.012691385731710698,0.008511459028474387,2.8
0.9755991167507032,0.014649266506626875,0.009886058165227293,2.9
0.9717871506056533,0.0168941670277788,0.011471937725742499,3.0
0.9674109800792267,0.01946335519639361,0.01329982206769031,3.1
0.9623955212487082,0.022397343518115665,0.015404342148907822,3.2
0.9566584257324603,0.02573962794014479,0.01782434728251083,3.3
0.950110275633214,0.02953619528028522,0.020603178558723893,3.4
0.9426551364446745,0.033834733466320675,0.023788877236294966,3.5
0.9341915737901026,0.03868347305477923,0.027434294480781187,3.6
0.9246142485351686,0.04412958793467594,0.03159706158764293,3.7
0.913816204889286,0.050217091057733816,0.036339372969370745,3.8
0.9016919524807103,0.05698418145209224,0.04172752877240126,3.9
0.8881414102175637,0.06446003587689027,0.04783118150161656,4.0
0.87307472130683,0.07266109581253448,0.05472223334197711,4.1
0.8564178610193407,0.08158697955452268,0.06247334010851853,4.2
0.8381188414451468,0.09121624756138667,0.07115599600858359,4.3
0.8181541768852392,0.10150235851532372,0.08083820219049709,4.4
