lambda,rho,z
0.1,0,1.0
0.2,0,0.9999999999999994
0.3,0,0.5810439666454542
0.4,0,0.33309610501834497
0.5,0,0.2123276787861526
0.6,0,0.1454733424257814
0.7,0,0.10514487691657241
0.8,0,0.07924960311897301
0.9,0,0.06180531191468929
1.0,0,0.049595738606982284
1.1,0,0.04077747572595252
1.2,0,0.03423872971153788
1.3,0,0.02928035721435308
1.4,0,0.025447041545570447
1.5,0,0.022433260398350904
1.6,0,0.020028623811983164
1.7,0,0.018084919469183773
1.8,0,0.016495609206754133
1.9,0,0.015182715840292965
2.0,0,0.014088229627450627
2.1,0,0.013168352816747974
2.2,0,0.0123895688688281
2.3,0,0.011725909918846021
2.4,0,0.011157026336467557
2.5,0,0.010666802655154174
2.6,0,0.010242351662972864
2.7,0,0.00987327410114435
2.8,0,0.00955110746027118
2.9,0,0.009268911103401743
3.0,0,0.009020950824801786
3.1,0,0.008802456729448216
3.2,0,0.008609435729465542
3.3,0,0.008438525114659862
3.4,0,0.008286877290360185
3.5,0,0.008152068365656788
3.6,0,0.008032025138879708
3.7,0,0.007924966381404856
3.8,0,0.007829355313912078
3.9,0,0.007743860903691878
4.0,0,0.007667326159273731
4.1,0,0.007598742010201014
4.2,0,0.007537225671310066
4.3,0,0.007482002628336604
4.4,0,0.0074323915638800095
4.5,0,0.007387791683444788
4.6,0,0.00734767201056226
4.7,0,0.007311562305370678
4.8,0,0.007279045328094029
4.9,0,0.007249750221813772
5.0,0,0.0072233468309507234
5.1,0,0.0071995408053845585
5.2,0,0.007178069366984246
5.3,0,0.007158697636926626
5.4,0,0.007141215439640469
5.5,0,0.007125434513385892
5.6,0,0.007111186069028021
5.7,0,0.007098318648014761
5.8,0,0.007086696238331421
5.9,0,0.007076196613606851
6.0,0,0.007066709865844551
6.1,0,0.007058137106654514
6.2,0,0.007050389315532948
6.3,0,0.007043386316808784
6.4,0,0.0070370558694563615
6.5,0,0.007031332856148253
6.6,0,0.007026158559761101
6.7,0,0.007021480017108444
6.8,0,0.007017249441002787
6.9,0,0.007013423702884972
7.0,0,0.007009963869231085
7.1,0,0.0070068347857838425
7.2,0,0.007004004704376347
7.3,0,0.007001444947739716
7.4,0,0.006999129608227283
7.5,0,0.006997035276857956
7.6,0,0.00699514079949217
7.7,0,0.006993427057312011
7.8,0,0.0069918767690916464
7.9,0,0.006990474313020206
8.0,0,0.006989205566082166
8.1,0,0.006988057759214836
8.2,0,0.006987019346651846
8.3,0,0.006986079888029454
8.4,0,0.006985229941981153
8.5,0,0.006984460970078406
8.6,0,0.006983765250092791
8.7,0,0.006983135797659852
8.8,0,0.006982566295518266
8.9,0,0.006982051029581457
9.0,0,0.006981584831173702
9.1,0,0.006981163024829199
9.2,0,0.006980781381112926
9.3,0,0.006980436073975387
9.4,0,0.006980123642201896
9.5,0,0.006979840954560099
9.6,0,0.0069795851782884204
9.7,0,0.006979353750603101
9.8,0,0.00697914435293302
9.9,0,0.006978954887619635
