S,I,R,t
0.9998949998749967,0.00010400000000000001,1.04e-06,0.0
0.9998359613504719,0.00015064362307298822,1.3899582424296497e-05,0.1
0.9997566267274033,0.00021228008521051008,3.2210938484575966e-05,0.2
0.999650025926131,0.0002941556308748168,5.7749227157862174e-05,0.3
0.9995067995084425,0.0004033042039268203,9.29082277006643e-05,0.4
0.9993143835831435,0.000549157062748946,0.000140911179781245,0.5
0.9990559196905169,0.0007443571314262486,0.00020609336756399803,0.6
0.9987087993779649,0.0010058445859895304,0.0002942804332008184,0.7
0.9982427255532883,0.0013562999282130794,0.00041329410639896053,0.8
0.9976171382930364,0.0018260548815015958,0.0005736269509484139,0.9
0.9967778113798152,0.0024556094305923652,0.0007893402746028836,1.0
0.995652378773358,0.003298923212199627,0.0010792548237965268,1.1
0.9941445020492845,0.004427676097572074,0.0014685222308823405,1.2
0.992126351393599,0.005936705180551069,0.0019906855318980285,1.3
0.9894290662860243,0.007950802111887348,0.0026903569353420418,1.4
0.9858309296255666,0.010632957001436228,0.003626654878933934,1.5
0.9810432051965677,0.014193896778566233,0.004877539451510339,1.6
0.9746940762667217,0.018902281848727644,0.006545146004495901,1.7
0.9663120703112782,0.02509404392547483,0.008762108718077777,1.8
0.9553120118425582,0.03317788736029518,0.011698639366974491,1.9
0.9409891664797596,0.04363179690571818,0.015569714991775304,2.0
0.9225308844091915,0.05698260544760294,0.020641062331424764,2.1
0.899059122557133,0.07375805089678514,0.02723168046635014,2.2
0.8697196580418189,0.09440036014084924,0.035709533022878506,2.3
0.8338301908579191,0.11913605230098814,0.046476186463820325,2.4
0.7910834443597184,0.14781298446725782,0.05993643499041834,2.5
0.7417685690254054,0.17974388910402156,0.07645152694479043,2.6
0.6869324894236483,0.21362582151957127,0.0962802597178426,2.7
0.6283813996726835,0.24761156387215838,0.11951984278438697,2.8
0.5684603557576615,0.27956485784575724,0.14606407805496804,2.9
0.5096512298835796,0.3074418889093122,0.1755948802670202,3.0
0.45413366541812855,0.32966369040319593,0.20761271159631733,3.1
0.40347328984453446,0.345343754042797,0.24149716784766412,3.2
0.3585198556144314,0.35431519671131007,0.2765793287451976,3.3
0.3194880776378623,0.35699726060833414,0.3122073657279136,3.4
0.2861336895291352,0.35418860668956337,0.3477940206226638,3.5
0.25794130791012093,0.34686578044595695,0.38284318637918624,3.6
0.23427636971608812,0.33602933801128476,0.4169587604400921,3.7
0.21448750703952418,0.32260707632978564,0.44984127313294536,3.8
0.1979652114136332,0.3074052998229068,0.4812775945722531,3.9
0.18416917177333786,0.29109333236790863,0.5111277198405526,4.0
0.1726361192318096,0.2742077650097781,0.5393111883342332,4.1
0.16297699597673995,0.25716658522621655,0.5657945367144356,4.2
0.1548691572998982,0.24028694385812666,0.5905804035947017,4.3
0.14804693593337037,0.22380304382734945,0.6136984379533301,4.4
0.14229232197995176,0.207882423520065,0.6351979170880169,4.5
0.13742656314738028,0.1926399683987329,0.6551418705203883,4.6
0.13330296236912906,0.17814955791986312,0.6736024742952144,4.7
0.1298008802157675,0.1644535314043103,0.6906574878699169,4.8
0.12682082755820023,0.15157026501069595,0.7063875311176859,4.9
0.12428049149789051,0.13950017222163003,0.7208740297938057,5.0
0.1221115348717878,0.1282304186012525,0.7341976880819134,5.1
0.12025702465149113,0.11773860341866746,0.7464373738823641,5.2
0.11866936570987954,0.1079956191141472,0.7576693254710528,5.3
0.11730863803243985,0.09896786064021408,0.7679666070768757,5.4
0.11614125499962585,0.09061892284749352,0.7773987562207981,5.5
0.11513887700364267,0.08291089583243959,0.7860315778769291,5.6
0.11427752833074267,0.07580534517300724,0.7939270502023847,5.7
0.11353687622889706,0.06926404555927966,0.8011433142277257,5.8
0.11289963979776885,0.06324952171375671,0.8077347259184653,5.9
0.11235110319620183,0.05772543897271742,0.8137519537510697,6.0
0.11187871303297652,0.052656876843186935,0.8192421086678323,6.1
0.11147174400283487,0.04801051174247629,0.8242488962013224,6.2
0.11112102010728701,0.04375472955070667,0.8288127828619597,6.3
0.11081868136226194,0.03985968422835866,0.8329711706957811,6.4
0.1105579879024155,0.036297315308690827,0.836758575348556,6.5
0.11033315496962615,0.033041334363958744,0.8402068040989756,6.6
0.11013921351747404,0.030067188405139132,0.8433451312117075,6.7
0.10997189214886458,0.027352006483252,0.8462004686608045,6.8
0.10982751688782305,0.024874534419973317,0.848797530824457,6.9
0.10970292591308503,0.022615061531093703,0.8511589921843239,7.0
0.10959539688448561,0.02055534236015322,0.8533056374008864,7.1
0.10950258489963335,0.018678515765743954,0.855256503399682,7.2
0.10942246944825633,0.01696902316891151,0.8570290133070848,7.3
0.10935330900073287,0.015412527338868743,0.8586391022305876,7.4
0.10929360208793953,0.013995832753871031,0.8601013349969496,7.5
0.10924205391128035,0.012706808302227613,0.8614290160497984,7.6
0.10919754767213023,0.011534312872274289,0.8626342917724602,7.7
0.10915911993488694,0.01046812420876077,0.863728245546938,7.8
0.10912593944208476,0.009498871277773366,0.8647209858899761,7.9
0.1090972888873356,0.008617970276020664,0.8656217280253102,8.0
0.10907254922523194,0.007817564337433027,0.8664388692600505,8.1
0.10905118615919192,0.0070904669260328955,0.8671800585347835,8.2
0.10903273850050586,0.006430108855259797,0.8678522605130767,8.3
0.1090168081361502,0.00583048883741375,0.8684618145679877,8.4
0.10900305138056729,0.005286127440205334,0.8690144890120155,8.5
0.10899117151864421,0.004792024308611495,0.869515530903526,8.6
0.10898091237443562,0.004343618497739408,0.8699697117477799,8.7
0.10897205276350586,0.00393675175489765,0.870381369394807,8.8
0.10896440170671717,0.003567634585506695,0.8707544464199717,8.9
0.1089577943003764,0.003232814936987515,0.8710925252564788,9.0
0.10895208815230265,0.0029291493366463517,0.8713988603325815,9.1
0.10894716030594613,0.002653776323255832,0.8716764074500314,9.2
0.1089429045854852,0.00240409201705535,0.8719278506245594,9.3
0.1089392293041061,0.0021777276788836255,0.8721556265939624,9.4
0.10893605528565074,0.001972529115813007,0.8723619471848111,9.5
0.10893331415668345,0.001786537797737543,0.8725488197149097,9.6
0.10893094687193863,0.0016179735566836295,0.8727180655954909,9.7
0.10892890244120512,0.0014652187480119463,0.8728713372847157,9.8
0.10892713683008685,0.0013268037600444175,0.8730101337323601,9.9
0.10892561201086248,0.001201393765889189,0.8731358144446336,10.0
0.10892429514292515,0.0010877766182814186,0.8732496122878343,10.1
0.10892315786509447,0.0009848517950573443,0.8733526451400087,10.2
0.1089221756845174,0.0008916203093976078,0.8734459264909056,10.3
0.10892132744896496,0.0008071755051889974,0.873530375082264,10.4
0.10892059489113763,0.0007306946637468301,0.8736068236728505,10.5
0.10891996223514712,0.0006614313537060276,0.8736760270055808,10.6
0.108919415856688,0.0005987084611262198,0.8737386690475445,10.7
0.1089189439895703,0.0005419118417684135,0.8737953695677152,10.8
0.10891853647228604,0.0004904845420947863,0.873846690111593,10.9
0.1089181845291476,0.00044392153982867103,0.8738931394269126,11.0
0.10891788058127984,0.0004017649589003333,0.8739351783898531,11.1
0.10891761808339304,0.00036359971730866465,0.8739732244768813,11.2
0.1089173913828196,0.0003290495698632376,0.8740076558234001,11.3
