S,I,R,psi,t
0.9998999499999845,0.00010004000749249844,1.0004000749249844e-08,5.000749249843844,0.0
0.9998460059535399,0.00014192824141835085,1.2078069736378644e-05,5.809009375912694,0.1
0.9997833441833629,0.0001881380727894013,2.8543991483244902e-05,6.747661585825153,0.2
0.9997105587040102,0.00023959812178852658,4.988543464385519e-05,7.837655653490904,0.3
0.9996260177721664,0.0002973637772844084,7.667909907601431e-05,9.103277397255434,0.4
0.9995278279852553,0.00036263934492843276,0.00010961447953421499,10.572669467417375,0.5
0.9994137927924676,0.0004368034118498025,0.00014950999812185313,12.27842977471024,0.6
0.9992813645911302,0.0005214379097712339,0.00019733185407397696,14.25829783974006,0.7
0.9991275894741577,0.0006183614147052168,0.0002542159871650792,16.55594023152932,0.8
0.9989490435785024,0.0007296672803347743,0.000321493607787053,19.22184703769494,0.9
0.9987417598621154,0.0008577672619420734,0.00040072080944679873,22.314351868598283,1.0
0.9985011440105325,0.0010054413455547325,0.0004937128480435222,25.900788101381554,1.1
0.998221878048199,0.0011758945487308407,0.0006025837464147967,30.05879372167906,1.2
0.9978978101110905,0.0013728214992033542,0.0007297919614044413,34.877775955653696,1.3
0.9975218287357412,0.0016004796171772927,0.0008781929325175902,40.46054454833896,1.4
0.997085719949393,0.0018637717150348447,0.0010510994135258067,46.92511856965679,1.5
0.9965800054259681,0.0021683387691710443,0.0012523505672741814,54.40670541334535,1.6
0.9959937600290392,0.0025206634922222038,0.0014863908737478458,63.059841429497304,1.7
0.9953144072305214,0.0029281851133861297,0.0017583599541565477,73.0606704447713,1.8
0.9945274912177589,0.003399425425682884,0.0020741944383394976,84.60931812038663,1.9
0.9936164250397567,0.003944125638976213,0.0024407429842802663,97.93229532427452,2.0
0.9925622149675375,0.0045733928338685375,0.0028658954772898836,113.28483093952646,2.1
0.991343162442085,0.005299853781913694,0.003358727267059612,130.9529922245298,2.2
0.9899345466582967,0.00613781251106106,0.003929659011220425,151.2553975349258,2.3
0.9883082931013181,0.007103406175776512,0.004590632244800415,174.54426091361162,2.4
0.98643263633306,0.008214751464639562,0.0053553001389784055,201.20543070132865,2.5
0.9842717891363715,0.009492070884207893,0.006239231995875771,231.65699655364608,2.6
0.981785634847385,0.010957784769861046,0.007260128790353876,266.3459454092759,2.7
0.9789294653661935,0.01263655082751589,0.008438045456589143,305.7422553698021,2.8
0.97565379384614,0.014555228541069625,0.009795613576505805,350.3297409206135,2.9
0.9719042781652121,0.016742741176408463,0.011358255629625764,400.5929241426921,3.0
0.9676217984763898,0.019229803868140036,0.013154379018826151,456.99923304182806,3.1
0.9627427385902676,0.022048483145558215,0.015215534765259766,519.9759558114971,3.2
0.9571995254499612,0.02523155229201556,0.017576522229940474,589.8816494396007,3.3
0.9509214818946499,0.028811609475338337,0.020275417750791263,666.9721516758357,3.4
0.9438360433142727,0.032819933169278684,0.023353502108651548,751.3620035265683,3.5
0.9358703765746775,0.037285063523538955,0.026855059835030812,842.9829532402471,3.6
0.9269534178803226,0.04223112017229067,0.030827023265872198,941.5422328677892,3.7
0.9170183139851521,0.047675896757297484,0.03531843672143958,1046.4843606862694,3.8
0.90600520881432,0.053628808975727554,0.04037972200229721,1156.961139890644,3.9
0.8938642677716194,0.060088813055837124,0.04606173606850761,1271.8150475846942,4.0
0.8805587800700713,0.06704244982067684,0.052414625417554206,1389.5810688614679,4.1
0.8660681331456938,0.0744621986489109,0.05948649876090945,1508.5110087525672,4.2
0.8503904219934993,0.08230533760812944,0.06732195880482178,1626.6223284590144,4.3
0.833544449278073,0.09051349374208541,0.07596055317805747,1741.7707378747753,4.4
0.8155708958782084,0.09901302704811113,0.08543522116162082,1851.7425209071948,4.5
