lambda,rho,t
0.1,0,0.0
0.2,0,1.887379141862766e-15
0.3,0,0.4189560333545457
0.4,0,0.666903894981655
0.5,0,0.7876723212138474
0.6,0,0.8545266575742185
0.7,0,0.8948551230834276
0.8,0,0.920750396881027
0.9,0,0.9381946880853107
1.0,0,0.9504042613930177
1.1,0,0.9592225242740475
1.2,0,0.9657612702884621
1.3,0,0.9707196427856469
1.4,0,0.9745529584544296
1.5,0,0.9775667396016491
1.6,0,0.9799713761880169
1.7,0,0.9819150805308162
1.8,0,0.9835043907932459
1.9,0,0.984817284159707
2.0,0,0.9859117703725494
2.1,0,0.986831647183252
2.2,0,0.9876104311311719
2.3,0,0.988274090081154
2.4,0,0.9888429736635325
2.5,0,0.9893331973448458
2.6,0,0.9897576483370272
2.7,0,0.9901267258988556
2.8,0,0.9904488925397288
2.9,0,0.9907310888965982
3.0,0,0.9909790491751982
3.1,0,0.9911975432705518
3.2,0,0.9913905642705345
3.3,0,0.9915614748853402
3.4,0,0.9917131227096398
3.5,0,0.9918479316343433
3.6,0,0.9919679748611203
3.7,0,0.9920750336185952
3.8,0,0.992170644686088
3.9,0,0.9922561390963082
4.0,0,0.9923326738407263
4.1,0,0.992401257989799
4.2,0,0.9924627743286899
4.3,0,0.9925179973716634
4.4,0,0.99256760843612
4.5,0,0.9926122083165552
4.6,0,0.9926523279894377
4.7,0,0.9926884376946293
4.8,0,0.992720954671906
4.9,0,0.9927502497781863
