lambda,rho,u
0.1,4,1.0000000000000002
0.2,4,1.0000000000000002
0.3,4,1.0000000000000002
0.4,4,1.0000000000000002
0.5,4,1.0000000000000004
0.6,4,1.0000000000000004
0.7,4,1.0000000000000002
0.8,4,1.0000000000000004
0.9,4,0.9999999999995485
1.0,4,0.9999999974882381
1.1,4,0.9999955246383195
1.2,4,0.9979024940333641
1.3,4,0.9417421541708135
1.4,4,0.846331221067406
1.5,4,0.7646412097679884
1.6,4,0.6954358059170631
1.7,4,0.6362240739128466
1.8,4,0.585111234926701
1.9,4,0.5406385878225284
2.0,4,0.5016670896855746
2.1,4,0.46729591819599786
2.2,4,0.4368044423681239
2.3,4,0.40961016977704173
2.4,4,0.38523780376631017
2.5,4,0.3632961583515306
2.6,4,0.343460716764222
2.7,4,0.32546030079176397
2.8,4,0.3090667732287775
2.9,4,0.2940870049788229
3.0,4,0.2803565516615118
3.1,4,0.2677346338259829
3.2,4,0.25610012066312904
3.3,4,0.2453482930124161
3.4,4,0.23538821653617611
3.5,4,0.22614059632208072
3.6,4,0.2175360140837448
3.7,4,0.20951347148408112
3.8,4,0.20201917995976007
3.9,4,0.1950055502356696
4.0,4,0.18843034453079158
4.1,4,0.18225596202785482
4.2,4,0.17644883406086181
4.3,4,0.17097891007388008
4.4,4,0.16581921902327096
4.5,4,0.16094549375959719
4.6,4,0.1563358482049327
4.7,4,0.151970498965181
4.8,4,0.14783152448379944
4.9,4,0.1439026560286734
5.0,4,0.14016909576622946
5.1,4,0.13661735796166713
5.2,4,0.1332351299868932
5.3,4,0.13001115034624172
5.4,4,0.12693510136635108
5.5,4,0.12399751455809443
5.6,4,0.12118968695910182
5.7,4,0.11850360701631843
5.8,4,0.11593188877811461
5.9,4,0.11346771334193642
6.0,4,0.11110477665217751
6.1,4,0.10883724286862499
6.2,4,0.10665970263234865
6.3,4,0.10456713564643673
6.4,4,0.10255487706614398
6.5,4,0.1006185872589473
6.6,4,0.09875422455148677
6.7,4,0.09695802062887084
6.8,4,0.09522645829357634
6.9,4,0.09355625132719189
7.0,4,0.09194432622940192
7.1,4,0.09038780563559631
7.2,4,0.08888399323792893
7.3,4,0.08743036005504029
7.4,4,0.08602453191344284
7.5,4,0.08466427801909569
7.6,4,0.08334750051129086
7.7,4,0.08207222490289058
7.8,4,0.08083659132142218
7.9,4,0.07963884647474719
8.0,4,0.07847733627313874
8.1,4,0.07735049904676457
8.2,4,0.07625685930390894
8.3,4,0.0751950219808763
8.4,4,0.07416366713949404
8.5,4,0.07316154507255143
8.6,4,0.07218747178143994
8.7,4,0.0712403247937637
8.8,4,0.07031903929180827
8.9,4,0.06942260452554669
9.0,4,0.06855006048635424
9.1,4,0.06770049481983724
9.2,4,0.06687303995818268
9.3,4,0.06606687045423312
9.4,4,0.06528120050110633
9.5,4,0.06451528162263195
9.6,4,0.06376840052118772
9.7,4,0.06303987707069676
9.8,4,0.062329062443615184
9.9,4,0.061635337361700814
